filename,mawb,consignee,shipper,wieght,Origin,nature OF good,dest,agent
/home/arya/Desktop/shipmnts/OTH-M/1913/6.jpg,[u'082-7165 7320\n'],"ELCA COSMETICS PRIVA
12A-05 PARINEE CRESCE","v |
ESTEE LAUDER N.V.
43A705 EURO",[u'1330.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/8.jpg,[u'082-7150 5615\n'],"ELCA COSMETICS PRIV/
19A.0E PARINEE CRECQCI","U
ESTEE LAUDER N.V.
22AA70E E1IRO",[u'2882.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/1.jpg,[u'057-6769 4631\n'],"ELCA COSMETICS PRIVA
12A-05 PARINEE CRESCE","v I
ESTEE LAUDER N.V.
33A705 EURO",[u'1963.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/3.jpg,[u'082-7165 7283\n'],"ELCA COSMETICS PRIV/
19A.NE PARINEE CREQC","U
ESTEE LAUDER N.V.
AA7OE El1IRO",[u'305.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/10.jpg,[u'589-5264 7000\n'],"ELCA COSMETICS PRIV/
19A.NE PARINEE CREQC","U
ESTEE LAUDER N.V.
AAAT7OE EIIRO",[u'1390.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/4.jpg,[u'235-2949 8254\n'],"ELCA COSMETICS PRIV/
12A-05 PARINEE CRESC!","v
ESTEE LAUDER N.V.
33A705 EURO",[u'374.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/2.jpg,[u'082-7165 7386\n'],"ELCA COSMETICS PRIV#
19A.0E PARINEE CREQC","U
ESTEE LAUDER N.V.
AAA70E ElLIRO",[u'269.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/7.jpg,[u'235-2949 8346\n'],"ELCA COSMETICS PRIVA
12A-05 PARINEE CRESCE","v |
'ESTEE LAUDER N.V
228705 EURO",[u'2650.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/5.jpg,[u'082-7189 2516\n'],"ELCA COSMETICS PRIV#
19A.0E PARINEE CREQC","U
ESTEE LAUDER N.V.
AAA70E ElLIRO",[u'2193.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1913/9.jpg,[u'082-7165 7412\n'],"ELCA COSMETICS PRIV/
19A.0E PARINEE CREQC","U
ESTEE LAUDER N.V.
AAAT70E El1IRO",[u'564.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1849/6.jpg,[u'589-52235352'],"JJ Jaaudoud
ight No.
pped By

signed To","\WB NUMB!
30=h2235.
.ght No.
pped By",-,,,,
/home/arya/Desktop/shipmnts/OTH-M/1849/8.jpg,[u'369-70456746'],"[u'To', u'M/S.', u'JEENA', u'&']",Consigned To,-,,,NEW,
/home/arya/Desktop/shipmnts/OTH-M/1849/1.jpg,[u'160-41159333'],"[u'To', u'M/S.', u'JEENA', u'&']",Consigned To,-,,,NEW,
/home/arya/Desktop/shipmnts/OTH-M/1849/3.jpg,"[u'160-41154525', u'028-85739088']","[u'To', u'M/S.', u'JEENA', u'&']",Consigned To,[u' 53.0'],,,NEW,
/home/arya/Desktop/shipmnts/OTH-M/1849/4.jpg,[u'071-30368752'],[u'To'],"\WB NUMBEI
71~30368""
ight No.
pped By",[u' 3.0'],,,EAGLE-TRANS,
/home/arya/Desktop/shipmnts/OTH-M/1849/5.jpg,[u'028-85739088'],"[u'To', u'JEENA', u'&']",Consigned To,[u' 85.0'],,,NEW,
/home/arya/Desktop/shipmnts/OTH-M/1849/9.jpg,"[u'769-83286486', u'769-83284858', u'769-85820202', u'769-85820101']",,Consigned To,"[u' 5, 20']",,,\NEw,
/home/arya/Desktop/shipmnts/OTH-M/1850/8.jpg,[u'618-53338084'],None,"PUMP MAIN PARTS
ICE CONTRACT FOR","[u'600,00', u'600,00']",|,PARTIAL SHIPMENT,BOM,
/home/arya/Desktop/shipmnts/OTH-M/1850/1.jpg,[u'074-17615463'],"[u'', u'', u'Jeena', u'&', u'Company']",None,"[u'0,90', u'0,90']",,MACHINE PARTS AND,DEL,
/home/arya/Desktop/shipmnts/OTH-M/1850/3.jpg,[u'125-81767254'],None,"USoever. Ve explicitly contradict
its. Our Offer- and Trading Terms &
neral Austrian Forwarders Terms &","[u'008,00', u'008,00']",|,STATOR SHEETS,Hydro,
/home/arya/Desktop/shipmnts/OTH-M/1850/10.jpg,[u'235-31289053'],None,"USoever. Ve explicitly contradict
its. Our Offer- and Trading Terms &
neral Austrian Forwarders Terms &","[u'168,00', u'168,00']",|,GUIDE HS CODE 73,MAA,
/home/arya/Desktop/shipmnts/OTH-M/1850/2.jpg,[u'724-65254976'],None,"isoever. vve explcitly contradict
its. Our Offer- and Trading Terms &
neral Austrian Forwarders Terms z","[u'1,20', u'1,20']",|,SIGNAL INSULATOR,DEL,
/home/arya/Desktop/shipmnts/OTH-M/1850/7.jpg,[u'098-74137280'],None,"USoever. Ve explicitly contradict
its. Our Offer- and Trading Terms &
neral Austrian Forwarders Terms &","[u'\n134.00', u'\n134.00']",|,SPLASHGUARD TW,"Siid,",
/home/arya/Desktop/shipmnts/OTH-M/1850/5.jpg,[u'618-53338062'],None,"PUMP MAIN PARTS
ICE CONTRACT FOR","[u'550,00', u'550,00']",|,PARTIAL SHIPMENT,AG,
/home/arya/Desktop/shipmnts/OTH-M/1850/9.jpg,[u'098-74138713'],None,"USoever. Ve explicitly contradict
its. Our Offer- and Trading Terms &
neral Austrian Forwarders Terms &","[u'\n145.00', u'\n145.00']",|,IINSULATING PLATE,"Siid,",
/home/arya/Desktop/shipmnts/OTH-M/1890/6.jpg,[u'232-67702213'],OWER SEALS,CORPORAT | ON,"[u' 12.0', u' 12.0']",,RING,DE-CONSOL,
/home/arya/Desktop/shipmnts/OTH-M/1890/1.jpg,[u'232-6772 5501 '],"PRAKASH ENGINEERING IND!I
V28 STRFET NO 10 MIDC","UN SUNG INDUSTRIAL CO
O 9/-27 MASO-RO SINDI","[u' 7.0', u' 102.0', u' 109.0']",,IN JELLY,BOM,
/home/arya/Desktop/shipmnts/OTH-M/1890/3.jpg,[u'843-0514 1743 '],"-LUID POWER SEALS
>_1 PHASF-TT DRV ST FSTA","PASS CORPORATION
JCHEON KORFA","[u' 62.0', u' 62.0']",,)RAULIC SEAL,MAA,
/home/arya/Desktop/shipmnts/OTH-M/1890/4.jpg,[u'232-6769 6156 '],"BOT CONTROL SYSTEMS INI
JROLUIND Fl OOR VVFRTEX CO","HINEUI ENTEC CO. LTD.
440-17 CHEONG CHEON-T","[u' 102.0', u' 102.0']",,W SENSOR,HYD,
/home/arya/Desktop/shipmnts/OTH-M/1890/5.jpg,[u'843-05103976'],~ HEALTHCARE PVT LT,"-TGEL CO.,LTD.","[u' 82.0', u' 82.0']",,OLL,,
